Lines,Lon,VehicleNumber,Time,Lat,Brigade,v,SpeedingsNearby
509,20.9964734,7868,2024-06-20 15:48:53,52.2964072,9,65.49627744370609,23.0
151,21.0753207,7817,2024-06-20 15:56:13,52.2328212,2,51.76586540212599,23.0
522,21.01731,8518,2024-06-20 16:10:52,52.158505,011,54.85399628936451,23.0
182,21.035227,7887,2024-06-20 16:11:50,52.2217314,5,54.236341566816165,23.0
525,21.0453655,7753,2024-06-20 16:10:00,52.2246715,8,68.76728842626905,23.0
142,21.133874,1425,2024-06-20 16:11:25,52.2311289,06,50.304255314243925,22.0
112,20.995155,9938,2024-06-20 16:10:34,52.287113,014,63.91700482721763,22.0
702,21.1343996,1838,2024-06-20 16:03:15,52.2309021,2,90.24945731528685,22.0
192,21.017332,1028,2024-06-20 15:50:24,52.160313,1,66.50283236689542,22.0
521,21.1340962,7739,2024-06-20 16:08:09,52.2310534,09,56.76447664248664,22.0
520,21.0351393,7852,2024-06-20 16:21:38,52.2217061,6,56.98669166772204,22.0
509,20.9969458,7848,2024-06-20 15:50:51,52.2962116,15,51.777357296930575,22.0
186,20.997051,9927,2024-06-20 15:52:21,52.296223,1,62.00417572772159,22.0
730,21.134404,1855,2024-06-20 16:14:58,52.2308938,52,52.18236269229736,22.0
156,20.9941795,1500,2024-06-20 15:55:31,52.2869611,2,76.17442231487554,22.0
156,20.9952035,1501,2024-06-20 16:03:42,52.287132,6,53.09588682434864,22.0
414,20.993402,3424,2024-06-20 15:57:55,52.2863348,06,57.95503460033705,22.0
112,20.9928378,3460,2024-06-20 15:51:47,52.2863631,1,64.55201657273645,22.0
134,20.993895,4402,2024-06-20 15:51:02,52.286865,3,52.06571813568105,22.0
414,20.993167,5449,2024-06-20 16:11:11,52.286193,07,66.85976292231355,22.0
186,20.996229,7203,2024-06-20 15:58:45,52.296616,017,57.98377477099309,22.0
125,21.134331,7335,2024-06-20 16:13:02,52.230927,3,54.40582888439695,22.0
331,21.0172692,1904,2024-06-20 15:49:29,52.1578929,01,57.79311429810182,22.0
